Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510039634	7180.77	7180.77	7180.89	7185.8	7185.8	33	3.36391074	6945.73	7410.92	7172.857878	7167.698781	3.441631	1.717466	1.237742	3.151663	28.2	-74.7	5.31487514	3.36391074
1510039754	7185.8	7185.8	7186.9	7187.01	7187.0	36	4.79104735	6949.01	7414.1	7175.018204	7169.121094	3.932727	1.964383	1.235046	2.926544	29.68	-70.27	5.23428625	4.79104735
1510039874	7187.0	7184.57	7186.29	7187.0	7184.58	71	9.48896075	6948.54	7413.97	7176.752326	7170.392865	4.418074	1.941387	1.146828	2.890362	28.41	-66.67	5.88885156	-9.48896075
1510039994	7184.58	7180.0	7181.63	7184.58	7180.01	114	14.65087727	6944.72	7411.97	7177.502737	7171.225245	4.789958	1.487534	1.064912	3.010336	26.13	-63.99	7.23685552	-14.65087727
1510040114	7180.01	7170.84	7173.54	7180.01	7174.02	96	13.9427417	6940.87	7410.13	7176.893085	7171.396708	4.931242	0.565135	0.988847	3.223169	23.48	-62.27	8.26853032	-13.9427417
1510040234	7174.02	7174.02	7176.78	7179.87	7177.59	72	10.58293007	6942.81	7408.75	7176.875687	7171.79547	4.961037	0.11918	1.173215	2.992943	28.16	-59.48	8.62459182	10.58293007
1510040354	7177.59	7174.99	7176.62	7179.88	7175.03	61	9.76479386	6944.36	7409.98	7176.836351	7172.152843	4.905531	-0.222023	1.089414	2.962019	26.89	-57.43	8.80000752	-9.76479386
1510040474	7175.03	7170.0	7172.54	7175.86	7170.01	87	22.48690201	6942.55	7408.52	7176.175374	7172.181521	4.723195	-0.729342	1.011599	3.109018	24.55	-56.28	10.9056836	-22.48690201
1510040594	7170.01	7170.0	7170.01	7170.01	7170.01	101	16.12745047	6939.17	7406.46	7175.226855	7172.020668	4.419793	-1.213606	0.939342	2.886945	24.55	-55.33	11.70903235	0.0
1510040714	7170.01	7170.01	7172.36	7173.9	7173.9	62	2.98779706	6939.37	7407.41	7174.7858	7172.045804	4.083834	-1.343838	1.150103	2.680735	30.02	-52.99	10.36730384	2.98779706
1510040834	7173.9	7173.9	7174.78	7178.56	7178.56	80	16.53396435	6941.68	7409.15	7174.784908	7172.248337	3.774381	-1.23781	1.40081	2.489254	36.01	-49.19	11.31602084	16.53396435
1510040954	7178.56	7175.0	7175.46	7180.0	7175.95	77	10.57786161	6942.01	7409.48	7174.888768	7172.486238	3.500011	-1.097481	1.300752	2.497879	34.24	-46.45	11.20245788	-10.57786161
1510041074	7175.95	7175.94	7176.02	7180.0	7176.89	67	7.52205112	6942.47	7408.8	7175.062804	7172.747998	3.26297	-0.948164	1.274984	2.319459	35.47	-43.82	10.63624146	7.52205112
1510041194	7176.89	7175.95	7180.12	7181.17	7181.0	86	6.47661067	6943.98	7410.32	7175.840834	7173.294072	3.119728	-0.572966	1.477485	2.153783	40.69	-40.02	9.99629826	6.47661067
1510041314	7181.0	7180.01	7183.67	7187.0	7187.0	86	8.89842691	6944.36	7412.91	7177.045321	7174.062659	3.092315	-0.109653	1.800522	1.999941	47.38	-34.59	9.82739498	8.89842691
1510041434	7187.0	7187.0	7187.0	7187.01	7187.01	57	7.30789326	6947.65	7414.38	7178.57681	7175.020981	3.185018	0.370811	1.672628	1.857088	47.39	-30.17	9.43977933	7.30789326
1510041554	7187.01	7187.0	7187.01	7187.01	7187.01	56	3.62054391	6948.18	7414.48	7179.874224	7175.909056	3.341048	0.62412	1.553155	1.724439	47.39	-26.53	8.54451234	0.0
1510041674	7187.01	7187.0	7187.01	7187.01	7187.01	60	8.12780046	6948.65	7413.51	7180.972036	7176.731348	3.520976	0.719712	1.442215	1.601265	47.39	-23.47	8.48040282	0.0
1510041794	7187.01	7187.0	7187.01	7187.01	7187.0	81	7.66778022	6947.87	7414.49	7181.900954	7177.49273	3.698426	0.709798	1.3392	1.487603	47.38	-20.88	8.35538396	-7.66778022
1510041914	7187.0	7184.99	7186.57	7187.01	7185.79	110	7.66007498	6948.75	7414.58	7182.619269	7178.16512	3.849571	0.604578	1.243543	1.467774	45.86	-18.99	8.24841335	-7.66007498
1510042034	7185.79	7182.23	7183.77	7186.65	7182.23	54	5.28236426	6945.31	7411.88	7182.796305	7178.580296	3.922859	0.29315	1.154719	1.617219	41.66	-18.35	7.79209811	-5.28236426
1510042154	7182.23	7175.94	7180.74	7183.24	7175.95	93	7.35313972	6944.51	7410.18	7182.47995	7178.740274	3.886222	-0.146546	1.072239	1.950275	35.48	-19.56	7.72456605	-7.35313972
1510042274	7175.95	7175.94	7175.94	7175.95	7175.95	57	7.4535606	6942.74	7406.21	7181.473804	7178.532846	3.697169	-0.756211	0.99565	1.81097	35.48	-20.56	7.6828729	0.0
1510042394	7175.95	7175.94	7175.95	7175.95	7175.95	24	2.61277818	6942.25	7405.58	7180.623988	7178.341524	3.414228	-1.131764	0.924532	1.681615	35.48	-21.39	6.90285833	0.0
1510042514	7175.95	7175.94	7175.94	7175.95	7175.95	32	2.61829294	6941.9	7406.18	7179.903374	7178.163633	3.079331	-1.33959	0.858494	1.5615	35.48	-22.09	6.24369442	0.0
1510042634	7175.95	7175.94	7175.95	7175.95	7175.94	33	2.91779829	6941.75	7406.08	7179.295163	7177.99966	2.722565	-1.427062	0.797173	1.450679	35.46	-22.69	5.73201809	-2.91779829
1510042754	7175.94	7175.94	7175.95	7175.95	7175.95	31	3.13341192	6941.98	7406.37	7178.780523	7177.847833	2.36459	-1.4319	0.740946	1.347059	35.49	-23.2	5.33223253	3.13341192
1510042874	7175.95	7175.94	7175.95	7175.95	7175.95	38	3.20207298	6941.82	7406.48	7178.345058	7177.707253	2.019233	-1.381428	0.688021	1.250841	35.49	-23.65	5.00451568	0.0
1510042994	7175.95	7175.94	7175.94	7175.95	7175.95	51	8.30700574	6941.99	7406.24	7177.975049	7177.576345	1.695127	-1.296423	0.638877	1.161495	35.49	-24.04	5.51259107	0.0
1510043114	7175.95	7175.94	7175.94	7175.95	7175.95	31	6.02243267	6942.52	7406.1	7177.661965	7177.455134	1.397468	-1.190637	0.593243	1.078531	35.49	-24.38	5.59102824	0.0
1510043234	7175.95	7175.94	7175.94	7175.95	7175.94	40	9.0756642	6942.6	7405.73	7177.397047	7177.342902	1.128803	-1.074658	0.550868	1.002207	35.47	-24.68	6.12712608	-9.0756642
1510043354	7175.94	7175.94	7175.94	7175.95	7175.95	67	19.85737021	6942.08	7405.47	7177.172886	7177.238983	0.889823	-0.95592	0.512235	0.930621	35.5	-24.95	8.23947133	19.85737021
1510043474	7175.95	7175.94	7175.95	7175.95	7175.95	30	4.82826993	6942.15	7405.83	7176.98475	7177.143503	0.680108	-0.838861	0.475647	0.864148	35.5	-25.19	7.71467111	0.0
