Time	trailing_price	Low	Weighted_Price_Average	High	close_price	N_Transactions	Volume	Bid_Index	Ask_Index	EMA_12	EMA_26	EMA_DIF	MACD	EMA_Up	EMA_Down	RSI	TSI	EMA_Volume	OBV_Delta
1510038314	7170.01	7170.01	7170.01	7170.01	7170.01	6	0.18041568	7116.73	7213.24	7170.01	7170.01	0	0.0	0	0	50	0	0.18041568	0
1510038344	7170.01	7170.01	7170.01	7170.01	7170.01	4	0.07280417	7118.04	7212.95	7170.01	7170.01	0.0	0.0	0.0	0.0	50	0	0.16386006	0.0
1510038374	7170.01	7153.11	7158.39	7170.0	7156.9	48	10.01701486	7109.72	7200.0	7168.222308	7169.149259	-0.18539	-0.741561	0.0	0.936429	0.0	-100.0	1.67973003	-10.01701486
1510038404	7156.9	7156.9	7161.57	7170.0	7162.89	17	2.31702197	7114.87	7202.05	7167.198876	7168.587832	-0.426103	-0.962853	0.427857	0.869541	32.98	-59.15	1.77777494	2.31702197
1510038434	7162.89	7160.77	7165.86	7169.5	7169.5	7	0.22121018	7111.22	7201.33	7166.992895	7168.38577	-0.619457	-0.773418	0.869439	0.807431	51.85	-28.69	1.53830344	0.22121018
1510038464	7169.5	7161.56	7167.22	7169.4	7169.14	10	1.50883706	7120.61	7211.63	7167.027834	7168.299417	-0.749882	-0.521701	0.807336	0.775472	51.01	-17.95	1.53377015	-1.50883706
1510038494	7169.14	7163.44	7163.51	7168.5	7165.58	8	0.14761569	7116.16	7204.29	7166.486629	7167.944645	-0.891509	-0.566507	0.749669	0.974367	43.48	-16.42	1.32051562	-0.14761569
1510038524	7165.58	7163.44	7164.23	7164.62	7164.62	21	1.47693604	7113.61	7203.67	7166.139455	7167.669486	-1.019213	-0.510818	0.696121	0.973341	41.7	-16.46	1.3445803	-1.47693604
1510038554	7164.62	7165.98	7165.98	7170.0	7165.99	10	0.65941742	7118.83	7204.4	7166.114923	7167.544339	-1.101254	-0.328162	0.744255	0.903817	45.16	-14.88	1.23917063	0.65941742
1510038584	7165.99	7164.36	7165.92	7170.0	7170.0	6	0.94024978	7118.12	7205.47	7166.084935	7167.424018	-1.14882	-0.190263	0.977523	0.839259	53.81	-9.67	1.19318281	0.94024978
