1509967685,7328.95,7333.57,7334.0,9,0.79896448,7293.09,7385.86
1509967715,7333.99,7333.99,7334.0,8,0.18035734,7294.25,7384.96
1509967745,7333.99,7333.99,7334.0,5,0.05251224,7294.37,7385.8
1509967775,7333.99,7333.99,7334.0,14,0.77234284,7295.79,7385.66
1509967805,7333.99,7333.99,7334.0,33,4.33851083,7293.38,7385.16
1509967835,7333.63,7333.87,7334.0,15,0.71462078,7293.79,7383.07
1509967865,7333.63,7333.67,7333.76,14,2.42045231,7294.13,7387.94
1509967895,7325.01,7331.85,7333.71,28,3.30566699,7288.32,7364.09
1509967925,7325.0,7326.9,7332.93,17,3.65241894,7286.81,7364.33
1509967955,7331.46,7332.18,7332.26,7,0.82410043,7290.96,7385.21
1509967985,7331.47,7331.62,7331.69,12,1.55593655,7292.39,7384.89
1509968015,7331.68,7331.68,7331.69,14,1.40372841,7292.1,7384.8
1509968045,7330.0,7331.04,7331.69,22,1.75847722,7293.08,7370.57
1509968075,7328.0,7330.0,7331.63,17,1.94069275,7292.25,7370.7
1509968105,7330.0,7330.0,7330.01,10,0.74973984,7292.7,7370.47
1509968135,7330.0,7330.0,7330.01,8,1.685652,7293.79,7370.81
1509968165,7330.0,7330.0,7330.01,12,1.40743161,7295.52,7371.2
1509968195,7330.0,7330.0,7330.01,11,0.80842171,7294.56,7370.94
1509968225,7330.0,7330.0,7330.01,20,1.19799992,7294.56,7372.47
1509968255,7330.0,7330.0,7330.01,14,1.15234447,7296.13,7373.67
1509968285,7330.0,7330.02,7330.04,25,2.72946187,7296.19,7375.54
1509968315,7330.03,7330.11,7331.67,18,3.95402268,7294.89,7373.39
1509968345,7331.67,7335.6,7339.62,37,7.06774311,7300.73,7387.81
1509968375,7339.61,7343.8,7350.0,46,14.5443725,7304.88,7391.01
1509968405,7349.99,7350.0,7350.25,25,3.23333879,7308.07,7391.68
1509968435,7350.24,7350.24,7350.25,9,2.0663109,7312.29,7397.12
1509968465,7350.25,7357.74,7359.53,18,6.80457595,7312.89,7394.52
1509968495,7351.96,7352.74,7359.48,12,2.89501263,7312.84,7397.59
1509968525,7352.24,7352.24,7352.25,15,1.46085239,7310.22,7396.65
1509968555,7352.24,7357.91,7360.0,24,3.2997826,7310.47,7399.07
1509968585,7352.17,7353.2,7359.99,29,3.02665079,7312.55,7397.47
1509968615,7352.32,7356.3,7359.99,9,1.05114576,7313.5,7403.44
1509968645,7359.99,7362.47,7366.1,22,2.93735736,7315.05,7408.73
1509968675,7353.14,7358.95,7360.0,20,4.18469042,7314.6,7408.84
1509968705,7350.01,7350.43,7355.24,22,3.14149791,7304.75,7393.83
1509968735,7350.0,7353.82,7358.73,22,3.44351678,7307.64,7393.59
1509968765,7350.29,7356.53,7362.02,21,3.41373569,7306.84,7394.25
1509968795,7347.1,7349.27,7357.97,34,11.39633999,7304.3,7391.01
1509968825,7349.47,7353.85,7354.99,7,0.57440081,7316.04,7393.83
1509968855,7350.27,7353.91,7353.99,10,1.62375568,7306.12,7392.83
1509968885,7350.31,7353.75,7353.99,16,1.21495944,7314.04,7395.95
1509968915,7353.98,7353.99,7354.0,8,1.52095742,7318.87,7398.77
1509968945,7354.0,7355.09,7355.21,21,1.39621518,7314.31,7398.53
1509968975,7355.2,7355.21,7355.21,10,0.510523,7317.02,7401.0
1509969005,7355.2,7355.2,7355.21,5,0.31462723,7314.43,7399.13
1509969035,7355.21,7355.21,7355.21,13,1.30327888,7319.39,7399.58
1509969065,7355.2,7355.32,7355.43,13,1.19244152,7319.7,7399.53
1509969095,7355.43,7355.43,7355.43,7,0.32090405,7316.76,7398.81
1509969125,7355.42,7355.43,7355.43,11,0.52483493,7315.29,7398.5
1509969155,7355.42,7355.42,7355.43,11,1.60152406,7316.68,7398.61
1509969185,7355.43,7355.5,7355.78,11,1.43032338,7316.68,7398.1
1509969215,7355.42,7355.43,7355.44,15,1.9228373,7317.74,7397.92
1509969245,7355.01,7355.34,7355.43,7,2.02345013,7316.4,7396.97
1509969275,7350.1,7352.92,7355.0,13,1.79033162,7309.22,7395.91
1509969305,7350.11,7350.11,7350.11,24,2.89427099,7303.75,7390.99
1509969335,7350.1,7350.11,7350.11,9,0.27669234,7304.24,7390.9
1509969365,7350.1,7350.11,7350.11,18,2.45325749,7304.12,7391.45
1509969395,7350.11,7350.11,7350.11,16,1.53343884,7300.69,7391.72
1509969425,7341.41,7346.71,7350.11,21,1.45372191,7304.62,7390.79
1509969455,7348.51,7348.64,7348.77,18,1.53908947,7305.22,7392.42
1509969485,7345.5,7348.48,7348.57,35,1.43520917,7304.76,7391.13
1509969515,7348.54,7348.55,7348.55,25,1.85003629,7303.61,7390.1
1509969545,7348.54,7348.56,7348.59,33,3.27671533,7303.42,7390.11
1509969575,7347.86,7348.5,7348.55,16,0.79065836,7303.43,7390.1
1509969605,7343.11,7344.79,7347.86,52,5.03438308,7307.9,7388.58
1509969635,7336.44,7342.83,7346.83,85,6.49770042,7300.72,7386.93
1509969665,7331.03,7333.43,7336.42,40,2.51361151,7296.39,7383.21
1509969695,7330.0,7330.31,7331.04,28,2.47970542,7288.89,7373.22
1509969725,7330.0,7330.01,7330.01,13,0.9171067,7291.36,7374.67
1509969755,7330.01,7330.01,7330.01,21,1.06858196,7291.61,7376.18
1509969785,7330.01,7338.07,7343.79,59,6.67256975,7301.62,7384.4
